a, ʌ
a(1), ej
a's, ejz
ai, ej
ai's, ejz
as, ejz
aaa, trɪpʌlej
aaberg, ɑbɚg
aachen, ɑkʌn
aachener, ɑkʌnɚ
aaker, ɑkɚ
aalseth, ɑlsɛθ
aamodt, ɑmʌt
aancor, ɑnkɔr
aardema, ɑrdɛmʌ
aardvark, ɑrdvɑrk
aaron, ɛrʌn
aaron's, ɛrʌnz
aarons, ɛrʌnz
aaronson, ɛrʌnsʌn
aaronson(1), ɑrʌnsʌn
aaronson's, ɛrʌnsʌnz
aaronson's(1), ɑrʌnsʌnz
aarti, ɑrtɪ
aase, ɑs
aasen, ɑsʌn
ab, æb
ab(1), ejbɪ
ababa, ʌbɑbʌ
ababa(1), ɑbʌbʌ
abacha, æbʌkʌ
aback, ʌbæk
abaco, æbʌkoʊ
abacus, æbʌkʌs
abad, ʌbɑd
abadaka, ʌbædʌkʌ
abadi, ʌbædɪ
abadie, ʌbædɪ
abair, ʌbɛr
abalkin, ʌbɑlkɪn
abalone, æbʌloʊnɪ
abalos, ɑbɑloʊz
abandon, ʌbændʌn
abandoned, ʌbændʌnd
abandoning, ʌbændʌnɪŋ
abandonment, ʌbændʌnmʌnt
abandonments, ʌbændʌnmʌnts
abandons, ʌbændʌnz
abanto, ʌbæntoʊ
abarca, ʌbɑrkʌ
abare, ɑbɑrɪ
abascal, æbʌskʌl
abash, ʌbæʃ
abashed, ʌbæʃt
abasia, ʌbejʒjʌ
abate, ʌbejt
abated, ʌbejtɪd
abatement, ʌbejtmʌnt
abatements, ʌbejtmʌnts
abates, ʌbejts
abating, ʌbejtɪŋ
abba, æbʌ
abbado, ʌbɑdoʊ
abbas, ʌbɑs
abbasi, ɑbɑsɪ
abbate, ɑbejt
abbatiello, ɑbɑtɪɛloʊ
abbe, æbɪ
abbe(1), æbej
abbenhaus, æbʌnhaʊs
abbett, ʌbɛt
abbeville, æbvɪl
abbey, æbɪ
abbey's, æbɪz
abbie, æbɪ
abbitt, æbɪt
abbot, æbʌt
abbotstown, æbʌtstaʊn
abbott, æbʌt
abbott's, æbʌts
abbottstown, æbʌtstaʊn
abboud, ʌbud
abboud(1), ʌbaʊd
abbreviate, ʌbrɪvɪejt
abbreviated, ʌbrɪvɪejtʌd
abbreviated(1), ʌbrɪvɪejtɪd
abbreviates, ʌbrɪvɪejts
abbreviating, ʌbrɪvɪejtɪŋ
abbreviation, ʌbrɪvɪejʃʌn
abbreviations, ʌbrɪvɪejʃʌnz
abbruzzese, ɑbrutsejzɪ
abbs, æbz
abby, æbɪ
abco, æbkoʊ
abcotek, æbkoʊtɛk
abdalla, æbdælʌ
abdallah, æbdælʌ
abdel, æbdɛl
abdella, æbdɛlʌ
abdicate, æbdʌkejt
abdicated, æbdʌkejtʌd
abdicates, æbdʌkejts
abdicating, æbdɪkejtɪŋ
abdication, æbdɪkejʃʌn
abdnor, æbdnɚ
abdo, æbdoʊ
abdollah, æbdɑlʌ
abdomen, æbdoʊmʌn
abdomen(1), æbdʌmʌn
abdominal, æbdɑmʌnʌl
abdominal(1), ʌbdɑmʌnʌl
abduct, æbdʌkt
abducted, æbdʌktɪd
abducted(1), ʌbdʌktɪd
abductee, æbdʌktɪ
abductees, æbdʌktɪz
abducting, æbdʌktɪŋ
abducting(1), ʌbdʌktɪŋ
abduction, æbdʌkʃʌn
abduction(1), ʌbdʌkʃʌn
abductions, æbdʌkʃʌnz
abductions(1), ʌbdʌkʃʌnz
abductor, æbdʌktɚ
abductor(1), ʌbdʌktɚ
abductors, æbdʌktɚz
abductors(1), ʌbdʌktɚz
abducts, æbdʌkts
abdul, æbdul
abdulaziz, æbdulʌzɪz
abdulla, ɑbdulʌ
abdullah, æbdʌlʌ
abe, ejb
abed, ʌbɛd
abedi, ʌbɛdɪ
abee, ʌbɪ
abel, ejbʌl
abela, ɑbɛlʌ
abelard, æbɪlɚd
abele, ʌbɪl
abeles, ʌbɪlz
abeles(1), ejbʌlɪz
abell, ejbʌl
abella, ʌbɛlʌ
abeln, æbɪln
abelow, æbʌloʊ
abels, ejbʌlz
abelson, æbɪlsʌn
abend, æbɛnd
abend(1), ʌbɛnd
abendroth, æbɪndrɔθ
aber, ejbɚ
abercrombie, æbɚkrɑmbɪ
aberdeen, æbɚdɪn
aberford, ejbɚfɚd
aberg, æbɚg
aberle, æbɚʌl
aberle(1), æbɚl
abermin, æbɚmɪn
abernathy, æbɚnæθɪ
abernethy, æbɚnɛθɪ
aberrant, æbɛrʌnt
aberration, æbɚejʃʌn
aberrational, æbɚejʃʌnʌl
aberrations, æbɚejʃʌnz
abert, æbɚt
abet, ʌbɛt
abetted, ʌbɛtɪd
abetting, ʌbɛtɪŋ
abex, ejbɛks
abeyance, ʌbejʌns
abeyta, ɑbejtʌ
abhor, æbhɔr
abhorred, ʌbhɔrd
abhorrence, ʌbhɔrʌns
abhorrent, æbhɔrʌnt
abhors, ʌbhɔrz
abiam, ejbɪʌm
abiam's, ejbɪʌmz
abid, ejbɪd
abide, ʌbajd
abided, ʌbajdɪd
abides, ʌbajdz
abiding, ʌbajdɪŋ
abidjan, æbɪʤɑn
abie, æbɪ
abigail, æbʌgejl
abila, ɑbɪlʌ
abilene, æbɪlɪn
abilities, ʌbɪlʌtɪz
ability, ʌbɪlʌtɪ
abimael, æbɪmejl
abimaels, æbɪmejlz
abingdon, æbɪŋdʌn
abington, æbɪŋtʌn
abio, ɑbɪoʊ
abiola, ɑbɪoʊlʌ
abiola's, ɑbɪoʊlʌz
abiomed, ejbɪʌmɛd
abiquiu, ʌbɪkju
abitibi, æbɪtɪbɪ
abitz, æbɪts
abject, æbʤɛkt
abkhazia, æbkɑzjʌ
abkhazia(1), æbkæzjʌ
abkhazian, æbkɑzɪʌn
abkhazian(1), æbkæzɪʌn
abkhazian(2), æbkɑzjʌn
abkhazian(3), æbkæzjʌn
abkhazians, æbkɑzɪʌnz
abkhazians(1), æbkæzɪʌnz
ablaze, ʌblejz
able, ejbʌl
able-bodied, ejbʌlbɑdɪd
abled, ejbʌld
abler, ejbʌlɚ
abler(1), ejblɚ
ables, ejbʌlz
ablest, ejbʌlst
ablest(1), ejblʌst
abloom, ʌblum
ably, ejblɪ
abner, æbnɚ
abney, æbnɪ
abnormal, æbnɔrmʌl
abnormalities, æbnɔrmælʌtɪz
abnormality, æbnɔrmælʌtɪ
abnormally, æbnɔrmʌlɪ
abo, ɑboʊ
abo's, ɑboʊz
aboard, ʌbɔrd
abode, ʌboʊd
abohalima, æbʌhʌlɪmʌ
abolish, ʌbɑlɪʃ
abolished, ʌbɑlɪʃt
abolishes, ʌbɑlɪʃɪz
abolishing, ʌbɑlɪʃɪŋ
abolition, æbʌlɪʃʌn
abolitionism, æbʌlɪʃʌnɪzʌm
